Merk,Title,Nummer,Category,Type,Beschrijving,Afbeelding
Ricoh,Theta V (1),1,Video,test,De Ricoh Theta V biedt hoogwaardige video-opnames met 4K 3Go (3840 x 1920) bij 30 frames per seconde. Je kan hoogwaardige 14-megapixel 360-stilstaande beelden vast met één druk op de knop.,RicohThetaV.jpg
Ricoh,Theta V (2),2,Video,test,De Ricoh Theta V biedt hoogwaardige video-opnames met 4K 3Go (3840 x 1920) bij 30 frames per seconde. Je kan hoogwaardige 14-megapixel 360-stilstaande beelden vast met één druk op de knop.,RicohThetaV.jpg
Ricoh,Theta V (3),3,Video,test,De Ricoh Theta V biedt hoogwaardige video-opnames met 4K 3Go (3840 x 1920) bij 30 frames per seconde. Je kan hoogwaardige 14-megapixel 360-stilstaande beelden vast met één druk op de knop.,RicohThetaV.jpg
Ricoh,Theta V (4),4,Video,test,De Ricoh Theta V biedt hoogwaardige video-opnames met 4K 3Go (3840 x 1920) bij 30 frames per seconde. Je kan hoogwaardige 14-megapixel 360-stilstaande beelden vastleggen met één druk op de knop.,RicohThetaV.jpg
AKG,K 271 MK II,1,Audio,test,De AKG K271 MKII zijn professionele over-ear koptelefoons ontworpen voor studio mixen studio monitoring en live optredens. Perfect voor vocalisten en drummers en gebouwd om de best mogelijke geluidsweergave te bieden. Hun volledig gesloten afgedichte ontwerp een hoge geluidsisolatie bied een laag signaalverlies in studio-microfoons en maximale isolatie voor live-mixing toepassingen. Naast geweldige geluidskwaliteit en isolatie zijn de AKG K271 MKII koptelefoons uiterst duurzaam en comfortabel. Niet alleen ontworpen om te voldoen aan de eisen van ontelbare uren in de studio hun zelfaanpassende hoofdband zorgt voor een ideale pasvorm en hun over-ear pads omhullen de oren mooi.,AKGK271MKII.jpg
AKG,K 271 MK II,2,Audio,test,De AKG K271 MKII zijn professionele over-ear koptelefoons ontworpen voor studio mixen studio monitoring en live optredens. Perfect voor vocalisten en drummers en gebouwd om de best mogelijke geluidsweergave te bieden. Hun volledig gesloten afgedichte ontwerp een hoge geluidsisolatie bied een laag signaalverlies in studio-microfoons en maximale isolatie voor live-mixing toepassingen. Naast geweldige geluidskwaliteit en isolatie zijn de AKG K271 MKII koptelefoons uiterst duurzaam en comfortabel. Niet alleen ontworpen om te voldoen aan de eisen van ontelbare uren in de studio hun zelfaanpassende hoofdband zorgt voor een ideale pasvorm en hun over-ear pads omhullen de oren mooi.,AKGK271MKII.jpg
AKG,K 271 MK II,3,Audio,test,De AKG K271 MKII zijn professionele over-ear koptelefoons ontworpen voor studio mixen studio monitoring en live optredens. Perfect voor vocalisten en drummers en gebouwd om de best mogelijke geluidsweergave te bieden. Hun volledig gesloten afgedichte ontwerp een hoge geluidsisolatie bied een laag signaalverlies in studio-microfoons en maximale isolatie voor live-mixing toepassingen. Naast geweldige geluidskwaliteit en isolatie zijn de AKG K271 MKII koptelefoons uiterst duurzaam en comfortabel. Niet alleen ontworpen om te voldoen aan de eisen van ontelbare uren in de studio hun zelfaanpassende hoofdband zorgt voor een ideale pasvorm en hun over-ear pads omhullen de oren mooi.,AKGK271MKII.jpg
AKG,K 271 MK II,4,Audio,test,De AKG K271 MKII zijn professionele over-ear koptelefoons ontworpen voor studio mixen studio monitoring en live optredens. Perfect voor vocalisten en drummers en gebouwd om de best mogelijke geluidsweergave te bieden. Hun volledig gesloten afgedichte ontwerp een hoge geluidsisolatie bied een laag signaalverlies in studio-microfoons en maximale isolatie voor live-mixing toepassingen. Naast geweldige geluidskwaliteit en isolatie zijn de AKG K271 MKII koptelefoons uiterst duurzaam en comfortabel. Niet alleen ontworpen om te voldoen aan de eisen van ontelbare uren in de studio hun zelfaanpassende hoofdband zorgt voor een ideale pasvorm en hun over-ear pads omhullen de oren mooi.,AKGK271MKII.jpg
ADJ,Mega Tripar Profile Plus,1,Belichting,test,De ADJ Mega Tripar Profile Plus is een compacte laag-profiel par ontworpen voor uplighting en podiumverlichting en zal kleur en opwinding toevoegen aan elk feest. Dit armatuur heeft een uniek "sit-flat" ontwerp zodat het direct op de grond kan worden geplaatst of binnenin truss zonder de schaarsteun omdat de voedings- en DMX-ingangen en -uitgangen aan de zijkant van het armatuur zijn gemonteerd niet aan de achterkant.De Mega Tripar Profile Plus beschikt over 5 x 4-Watt 4-in-1 RGB + UV LED's die zorgen voor soepele kleurmenging heeft een straalhoek van 40 graden 5 operationele modi (inclusief DMX Geluid Actieve Modus RGB + UV Dimmer Modus Automatische Modus & Statische Kleur Modus) en heeft 5 DMX kanaalmodi voor een verscheidenheid aan opties.,ADJMegaTriParProfilePlus.jpg
ADJ,Mega Tripar Profile Plus,2,Belichting,test,De ADJ Mega Tripar Profile Plus is een compacte laag-profiel par ontworpen voor uplighting en podiumverlichting en zal kleur en opwinding toevoegen aan elk feest. Dit armatuur heeft een uniek "sit-flat" ontwerp zodat het direct op de grond kan worden geplaatst of binnenin truss zonder de schaarsteun omdat de voedings- en DMX-ingangen en -uitgangen aan de zijkant van het armatuur zijn gemonteerd niet aan de achterkant. De Mega Tripar Profile Plus beschikt over 5 x 4-Watt 4-in-1 RGB + UV LED's die zorgen voor soepele kleurmenging heeft een straalhoek van 40 graden 5 operationele modi (inclusief DMX Geluid Actieve Modus RGB + UV Dimmer Modus Automatische Modus & Statische Kleur Modus) en heeft 5 DMX kanaalmodi voor een verscheidenheid aan opties.,ADJMegaTriParProfilePlus.jpg
ADJ,Mega Tripar Profile Plus,3,Belichting,test,De ADJ Mega Tripar Profile Plus is een compacte laag-profiel par ontworpen voor uplighting en podiumverlichting en zal kleur en opwinding toevoegen aan elk feest. Dit armatuur heeft een uniek "sit-flat" ontwerp zodat het direct op de grond kan worden geplaatst of binnenin truss zonder de schaarsteun omdat de voedings- en DMX-ingangen en -uitgangen aan de zijkant van het armatuur zijn gemonteerd niet aan de achterkant. De Mega Tripar Profile Plus beschikt over 5 x 4-Watt 4-in-1 RGB + UV LED's die zorgen voor soepele kleurmenging heeft een straalhoek van 40 graden 5 operationele modi (inclusief DMX Geluid Actieve Modus RGB + UV Dimmer Modus Automatische Modus & Statische Kleur Modus) en heeft 5 DMX kanaalmodi voor een verscheidenheid aan opties.,ADJMegaTriParProfilePlus.jpg
ADJ,Mega Tripar Profile Plus,4,Belichting,test,De ADJ Mega Tripar Profile Plus is een compacte laag-profiel par ontworpen voor uplighting en podiumverlichting en zal kleur en opwinding toevoegen aan elk feest. Dit armatuur heeft een uniek "sit-flat" ontwerp zodat het direct op de grond kan worden geplaatst of binnenin truss zonder de schaarsteun omdat de voedings- en DMX-ingangen en -uitgangen aan de zijkant van het armatuur zijn gemonteerd niet aan de achterkant. De Mega Tripar Profile Plus beschikt over 5 x 4-Watt 4-in-1 RGB + UV LED's die zorgen voor soepele kleurmenging heeft een straalhoek van 40 graden 5 operationele modi (inclusief DMX Geluid Actieve Modus RGB + UV Dimmer Modus Automatische Modus & Statische Kleur Modus) en heeft 5 DMX kanaalmodi voor een verscheidenheid aan opties.,ADJMegaTriParProfilePlus.jpg
ADJ,Mega Tripar Profile Plus,5,Belichting,test,De ADJ Mega Tripar Profile Plus is een compacte laag-profiel par ontworpen voor uplighting en podiumverlichting en zal kleur en opwinding toevoegen aan elk feest. Dit armatuur heeft een uniek "sit-flat" ontwerp zodat het direct op de grond kan worden geplaatst of binnenin truss zonder de schaarsteun omdat de voedings- en DMX-ingangen en -uitgangen aan de zijkant van het armatuur zijn gemonteerd niet aan de achterkant. De Mega Tripar Profile Plus beschikt over 5 x 4-Watt 4-in-1 RGB + UV LED's die zorgen voor soepele kleurmenging heeft een straalhoek van 40 graden 5 operationele modi (inclusief DMX Geluid Actieve Modus RGB + UV Dimmer Modus Automatische Modus & Statische Kleur Modus) en heeft 5 DMX kanaalmodi voor een verscheidenheid aan opties.,ADJMegaTriParProfilePlus.jpg
Adafruit,ESP32 Feather,1,Elektronica,test,De ESP32 Feather gemaakt met de officiële WROOM32-module. Het heeft alles: een ingebouwde USB-naar-seriële converter automatische bootloader-reset lithium-ion/polymer oplader en de GPIO's zijn uitgebracht zodat je het kunt gebruiken met een van de Feather Wings. De module ingebed aan het einde van deze Feather bevat een dual-core ESP32-chip 4 MB SPI Flash en een afgestemde antenne. De ESP32 heeft zowel ondersteuning voor WiFi als Bluetooth Classic/LE.,AdafruitESP32Feather.jpg
Adafruit,ESP32 Feather,2,Elektronica,test,De ESP32 Feather gemaakt met de officiële WROOM32-module. Het heeft alles: een ingebouwde USB-naar-seriële converter automatische bootloader-reset lithium-ion/polymer oplader en de GPIO's zijn uitgebracht zodat je het kunt gebruiken met een van de Feather Wings. De module ingebed aan het einde van deze Feather bevat een dual-core ESP32-chip 4 MB SPI Flash en een afgestemde antenne. De ESP32 heeft zowel ondersteuning voor WiFi als Bluetooth Classic/LE.,AdafruitESP32Feather.jpg
Adafruit,ESP32 Feather,3,Elektronica,test,De ESP32 Feather gemaakt met de officiële WROOM32-module. Het heeft alles: een ingebouwde USB-naar-seriële converter automatische bootloader-reset lithium-ion/polymer oplader en de GPIO's zijn uitgebracht zodat je het kunt gebruiken met een van de Feather Wings. De module ingebed aan het einde van deze Feather bevat een dual-core ESP32-chip 4 MB SPI Flash en een afgestemde antenne. De ESP32 heeft zowel ondersteuning voor WiFi als Bluetooth Classic/LE.,AdafruitESP32Feather.jpg
Adafruit,ESP32 Feather,4,Elektronica,test,De ESP32 Feather gemaakt met de officiële WROOM32-module. Het heeft alles: een ingebouwde USB-naar-seriële converter automatische bootloader-reset lithium-ion/polymer oplader en de GPIO's zijn uitgebracht zodat je het kunt gebruiken met een van de Feather Wings. De module ingebed aan het einde van deze Feather bevat een dual-core ESP32-chip 4 MB SPI Flash en een afgestemde antenne. De ESP32 heeft zowel ondersteuning voor WiFi als Bluetooth Classic/LE.,AdafruitESP32Feather.jpg
Audio Technica,ATR 3350,1,Audio,test,"Dasspeldmicrofoon",ATR3350.jpg
Audio Technica,ATR 3351,2,Audio,test,"Dasspeldmicrofoon",ATR3350.jpg
Audio Technica,ATR 3352,3,Audio,test,"Dasspeldmicrofoon",ATR3350.jpg
Audio Technica,ATR 3353,4,Audio,test,"Dasspeldmicrofoon",ATR3350.jpg
Apple,iPad Air 2 Wifi 16 GB Space Gray,1,"Varia",,,IpadAir2SpaceGrey.jpg
Apple,iPad Air Wifi 32GB Silver,1,"Varia",,,IpadAirSilver.jpg
Arduino,Arduino UNO R3,1,"Varia,Arduino uno board + kabel",,,ArduinoUnoR3.jpg
Arduino,Arduino UNO R3,2,"Varia, + USB",,,ArduinoUnoR3.jpg
Arduino,Arduino UNO R3,3,Varia,,,ArduinoUnoR3.jpg
Blue,Yeti X,1,Audio,,USB Microphone voor gaming,BlueYetiX.jpg
Blue,Yeti X,2,Audio,,USB Microphone voor gaming,BlueYetiX.jpg
Canon,M50,1,Video,,Fototoestel,CanonM50.jpg
Canon,M50,2,Video,,Fototoestel,CanonM50.jpg
Canon,M50,3,Video,,Fototoestel,CanonM50.jpg
Canon,M50,4,Video,,Fototoestel,CanonM50.jpg
Canon,M50,5,Video,,Fototoestel,CanonM50.jpg
Canon,M50,6,Video,,Fototoestel,CanonM50.jpg
Canon,M50,7,Video,,Fototoestel,CanonM50.jpg
Canon,M50,8,Video,,Fototoestel,CanonM50.jpg
Canon,M50,9,Video,,Fototoestel,CanonM50.jpg
Canon,M50,10,Video,,Fototoestel,CanonM50.jpg
Canon,M50,11,Video,,Fototoestel,CanonM50.jpg
Canon,Eos R,1,Video,,Systeemcamera,CanonEOSR.jpg
Canon,Eos R,2,Video,,Systeemcamera,CanonEOSR.jpg
Canon,Eos R,3,Video,,Systeemcamera,CanonEOSR.jpg
Bresser,BR-2240,1,Belichting,,Softbox,BresserBR-2240.jpg
Bresser,BR-2240,2,Belichting,,Softbox,BresserBR-2240.jpg
Bresser,BR-2240,3,Belichting,,Softbox,BresserBR-2240.jpg
DJI,Ronin M,1,Video,,Stabilizer,DJJRoninM3.jpg
DJI,Ronin S,1,Varia,,Stabilizer,DJIRoninS.jpg
DJI,Ronin S,2,Varia,,Stabilizer,DJIRoninS.jpg
DJI,Osmo 2,1,Video,,Stabilizer,DJIOsmo2.jpg
Sony,Handycam HDR-CX210,1,Video,,Videocamera,SonyHandycamHDR-CX210.jpg
Sony,Handycam HDR-CX210,2,Video,,Videocamera,SonyHandycamHDR-CX210.jpg
Sony,Handycam HDR-CX210,3,Video,,Videocamera,SonyHandycamHDR-CX210.jpg
Sony,Handycam HDR-CX210,4,Video,,Videocamera,SonyHandycamHDR-CX210.jpg
Sony,Handycam HDR-CX210,5,Video,,Videocamera,SonyHandycamHDR-CX210.jpg
Sony,Handycam HDR-CX210,6,Video,,Videocamera,SonyHandycamHDR-CX210.jpg
Sony,Handycam HDR-CX210,7,Video,,Videocamera,SonyHandycamHDR-CX210.jpg
Sony,Handycam HDR-CX210,8,Video,,Videocamera,SonyHandycamHDR-CX210.jpg
Sony,Handycam HDR-CX210,9,Video,,Videocamera,SonyHandycamHDR-CX210.jpg
Sony,Handycam HDR-CX210,10,Video,,Videocamera,SonyHandycamHDR-CX210.jpg
Panasonic ,HC-V770,1,Video,,Videocamera,PanasonicHC-V770.jpg
Panasonic ,HC-V770 ,2,Video,,Videocamera,PanasonicHC-V770.jpg
Sony,Alpha 7 III,1,Video,,Videocamera,SonyAlpha7III.jpg
Samyang,Focus Lens T1 1.5 / 85 mm,1,Video,,Objectieven,Samyang.jpg
Canon,XA35,1,Video,,Videocamera,CanonXA35.jpg
Canon,XA35,2,Video,,Videocamera,CanonXA35.jpg
Canon,XA35,3,Video,,Videocamera,CanonXA35.jpg
Canon,EOS 700D ,1,Video,,Fototoestel,CanonEOS700D.jpg
Canon,EOS 700D ,2,Video,,Fototoestel,CanonEOS700D.jpg
Sony,Playstation Eye,1,Video,,Camera,SonyPlaystationEye.jpg
Sony,Playstation Eye,2,Video,,Camera,SonyPlaystationEye.jpg
Sony,Playstation Eye,3,Video,,Camera,SonyPlaystationEye.jpg
Sony,Playstation Eye,4,Video,,Camera,SonyPlaystationEye.jpg
Sony,Playstation Eye,5,Video,,Camera,SonyPlaystationEye.jpg
Sony,Playstation Eye,6,Video,,Camera,SonyPlaystationEye.jpg
Sony,Playstation Eye,7,Video,,Camera,SonyPlaystationEye.jpg
Sony,Playstation Eye,8,Video,,Camera,SonyPlaystationEye.jpg
Libec,Statief TH-650DV,1,Video,,Statief + draagtas,LibecTH650DV.jpg
Libec,Statief TH-650DV,2,Video,,Statief + draagtas,LibecTH650DV.jpg
Libec,Statief TH-650DV,3,Video,,Statief + draagtas,LibecTH650DV.jpg
Libec,Statief TH-650DV,4,Video,,Statief + draagtas,LibecTH650DV.jpg
Libec,Statief TH-650DV,5,Video,,Statief + draagtas,LibecTH650DV.jpg
Libec,Statief TH-650DV,6,Video,,Statief + draagtas,LibecTH650DV.jpg
Libec,Statief TH-650DV,7,Video,,Statief + draagtas,LibecTH650DV.jpg
Libec,Statief TH-650DV,8,Video,,Statief + draagtas,LibecTH650DV.jpg
Vuze,Vuze 360,1,Video,,360 camera,Vuze360.jpg
Zoom,H1,1,Audio,,Audiorecorder,ZoomH1.jpg
Zoom,H1,2,Audio,,Audiorecorder,ZoomH1.jpg
Zoom,H1,3,Audio,,Audiorecorder,ZoomH1.jpg
Zoom,H1,4,Audio,,Audiorecorder,ZoomH1.jpg
Zoom,H1,5,Audio,,Audiorecorder,ZoomH1.jpg
Devine,DM10,1,Audio,,Handmicrofoon,DevineDM10.jpg
Devine,DM10,2,Audio,,Handmicrofoon,DevineDM10.jpg
Devine,DM10,3,Audio,,Handmicrofoon,DevineDM10.jpg
Devine,DM10,4,Audio,,Handmicrofoon,DevineDM10.jpg
Devine,DM10,5,Audio,,Handmicrofoon,DevineDM10.jpg
Devine,DM10,6,Audio,,Handmicrofoon,DevineDM10.jpg
Devine,DM10,7,Audio,,Handmicrofoon,DevineDM10.jpg
Neutrik,6.3 jack --> XLR,1,Audio,,Adapter,Neutrik63.jpg
Neutrik,6.3 jack --> XLR,2,Audio,,Adapter,Neutrik63.jpg
Neutrik,6.3 jack --> XLR,3,Audio,,Adapter,Neutrik63.jpg
Neutrik,6.3 jack --> XLR,4,Audio,,Adapter,Neutrik63.jpg
Rode,3.5 jack --> XLR,1,Audio,,Adapter,Neutrik63.jpg
Rode,3.5 jack --> XLR,2,Audio,,Adapter,Neutrik63.jpg
Rode,3.5 jack --> XLR,3,Audio,,Adapter,Neutrik63.jpg
Rode,3.5 jack --> XLR,4,Audio,,Adapter,Neutrik63.jpg
Rode,3.5 jack --> XLR,5,Audio,,Adapter,Neutrik63.jpg
Yamaha,HS5,1,Audio,,Studio Monitor,YamahaHS5.jpg
Digidesign,Mbox 2 mini,1,Audio,,Audio Interface,DigidesignMbox2Mini.jpg
Digidesign,Mbox 2 mini,2,Audio,,Audio Interface,DigidesignMbox2Mini.jpg
AKAI,APC40 MKII,1,Audio,,MIDI-Tafel,AkaiAPC40.jpg
Behringer,NOX101,1,Audio,,Mengtafel,Behringer.jpg
Google,Google Glass,1,XR,,XR,GoogleGlass.jpg
Google,Google Cardboard,1,XR,,VR,GoogleCardboard.jpg
Oculus,Oculus Quest,1,XR,,VR,OculusQuest.jpg
Oculus,Oculus Quest,2,XR,,VR,OculusQuest.jpg
Oculus,Oculus Quest,3,XR,,VR,OculusQuest.jpg
Oculus,Oculus Quest,4,XR,,VR,OculusQuest.jpg
Oculus,Oculus Quest,5,XR,,VR,OculusQuest.jpg
Oculus,Oculus Quest,6,XR,,VR,OculusQuest.jpg
Oculus,Oculus Quest,7,XR,,VR,OculusQuest.jpg
Oculus,Oculus Quest,8,XR,,VR,OculusQuest.jpg
Oculus,Oculus Quest,9,XR,,VR,OculusQuest.jpg
Oculus,Oculus Quest,10,XR,,VR,OculusQuest.jpg
Oculus,Oculus Quest,11,XR,,VR,OculusQuest.jpg
Dell,Scherm (grijs),1,Varia,,Monitor,DellMonitorGrey.jpg
Dell,Scherm (grijs),2,Varia,,Monitor,DellMonitorGrey.jpg
Philips,Scherm (grijs),1,Varia,,Monitor,PhilipsMonitorGrey.jpg
Dell,Scherm (zwart),1,Varia,,Monitor,DellMonitorBlack.jpg
Midland,GXT,1,Varia,,Walkie Talkie,MidlandGXT.jpg
HP,HP Pavilion ,1,Varia,,Monitor,HPPavilion.jpg
Emotiv,Epoc +,1,Varia,,Brainwear,emotiv.jpg
Shure,SRH240A,1,Audio,,Pro Headphone,shure.jpg
Shure,SRH240A,2,Audio,,Pro Headphone,shure.jpg
Shining 3D,Einscan-SE,1,Varia,,3D-Scanner,shining.jpg
Bresser,BR-12B Bi-Color LED-paneel ,1,Belichting,,Ledpaneel,BresserBR128BI.jpg
Bresser,BR-12B Bi-Color LED-paneel ,2,Belichting,,Ledpaneel,BresserBR128BI.jpg
Bresser,BR-12B Bi-Color LED-paneel ,3,Belichting,,Ledpaneel,BresserBR128BI.jpg
Bresser,BR-12B Bi-Color LED-paneel ,4,Belichting,,Ledpaneel,BresserBR128BI.jpg
Bresser,BR-12B Bi-Color LED-paneel ,5,Belichting,,Ledpaneel,BresserBR128BI.jpg
Bresser,BR-12B Bi-Color LED-paneel ,6,Belichting,,Ledpaneel,BresserBR128BI.jpg
Manfrotto,Head 501 statief,1,Varia,,Statief ,manfrotto.jpg
Intel,Realsense D435 i,1,Video,,Dieptecamera,IntelRealsense.jpg
DJI,Tello,1,Varia,,Drones,DJITello.jpg
DJI,Tello,2,Varia,,Drones,DJITello.jpg
DJI,Tello,3,Varia,,Drones,DJITello.jpg
DJI,Tello,4,Varia,,Drones,DJITello.jpg
Panasonic,PT-RZ370,1,Video,,Beamer,PanasonicPT.jpg
Laserworld,DS-1000RGB,1,Belichting,,Laser,LaserworldDS.jpg
